date,ticker,strategy,entry_price,entry_rsi,exit_type,exit_day,exit_price,exit_pct,is_winner,min_price,max_price,last_day_close,min_pct,max_pct,last_day_pct
1969-01-07,MMM,rsi_mean_reversion,0.9433901906013489,24.32321948166574,period_end,15,0.9236881732940674,-2.0884271962508705,False,0.9144160159938024,0.982794511580692,0.9236881732940674,-3.071282158348218,4.176884747362642,-2.0884271962508705
1975-07-23,MMM,rsi_mean_reversion,1.183254361152649,22.999124499837997,stop_loss,15,1.1359241867065428,-4.0,False,1.12409245967865,1.2038339327350298,1.12409245967865,-4.999930988326751,1.7392347966783417,-4.999930988326751
1975-07-25,MMM,rsi_mean_reversion,1.1652488708496094,22.80963882211839,stop_loss,14,1.118638916015625,-4.0,False,1.100941762568441,1.2038339327350298,1.1369538307189941,-5.518744526590324,3.311315106213078,-2.4282400814501264
1975-08-07,MMM,rsi_mean_reversion,1.1498152017593384,24.090127561987185,stop_loss,5,1.1038225936889647,-4.0,False,1.0611120384615256,1.190971178846499,1.1335790157318115,-7.714558231799999,3.5793557977131965,-1.4120691744798453
1989-10-13,MMM,rsi_mean_reversion,5.166976451873779,23.882847166537577,stop_loss,1,4.960297393798828,-4.0,False,4.895982681164873,5.392805850870891,5.275374889373779,-5.244726257860759,4.370629537419624,2.0979084869002995
2007-11-01,MMM,rsi_mean_reversion,40.612857818603516,24.942598126745327,stop_loss,6,38.988343505859376,-4.0,False,38.2312793252899,41.479345384452984,40.292911529541016,-5.864099748781259,2.133530148800699,-0.7877955560072463
1985-03-18,AOS,rsi_mean_reversion,0.3105192184448242,24.366439563810964,stop_loss,1,0.29809844970703125,-4.0,False,0.29128348018030153,0.3709743021915675,0.3654783368110657,-6.19470136530073,19.469031272692543,17.699103663049787
1986-04-07,AOS,rsi_mean_reversion,0.5483134388923645,24.98663295411409,take_profit,2,0.5812122452259064,6.0,True,0.5483138173674167,0.6396993347314786,0.6219481825828552,6.902531022254417e-05,16.66672551811253,13.429315874372621
1988-10-13,AOS,rsi_mean_reversion,0.3882407546043396,19.38460434625519,period_end,15,0.39939576387405396,2.873219551894429,True,0.3820780836695539,0.40251588821411133,0.39939576387405396,-1.5873323090632563,3.676876639166765,2.873219551894429
1989-05-12,AOS,rsi_mean_reversion,0.43743783235549927,23.777046322449216,period_end,15,0.43743783235549927,0.0,False,0.43105182158696664,0.4406307339668274,0.43743783235549927,-1.4598670476546272,0.7299098009276209,0.0
1990-08-17,AOS,rsi_mean_reversion,0.41893288493156433,23.812012048000817,stop_loss,2,0.4021755695343017,-4.0,False,0.3746555381184633,0.4291507601737976,0.4291507601737976,-10.569078820425865,2.4390243902439024,2.4390243902439024
1991-04-01,AOS,rsi_mean_reversion,0.46458351612091064,24.56990705414674,take_profit,4,0.4924585270881653,6.0,True,0.4610906296976042,0.5169804096221924,0.5169804096221924,-0.7518317594370639,11.278250666053578,11.278250666053578
1991-07-08,AOS,rsi_mean_reversion,0.5296930074691772,23.87625618519271,period_end,15,0.5212023854255676,-1.6029326277454563,False,0.5176320672035217,0.53322434425354,0.5212023854255676,-2.2769679976108317,0.666676118915593,-1.6029326277454563
1992-09-16,AOS,rsi_mean_reversion,0.8713257908821106,24.379992517815936,stop_loss,7,0.8364727592468262,-4.0,False,0.7531798754636789,0.8971703648567199,0.7531803846359253,-13.559327252189265,2.966120622740296,-13.559268815694935
1992-09-25,AOS,rsi_mean_reversion,0.81963711977005,23.572883991266835,stop_loss,4,0.786851634979248,-4.0,False,0.7051830579460785,0.9193224319647614,0.89717036485672,-13.963991998810613,12.162127579419309,9.459459950816033
1994-03-30,AOS,rsi_mean_reversion,1.932207465171814,24.49836558094831,stop_loss,1,1.8549191665649414,-4.0,False,1.6935686051937726,2.0861678146373697,1.8090389966964722,-12.350581616080307,7.968106543458851,-6.3744950112999135
1999-10-20,AOS,rsi_mean_reversion,2.6371805667877197,22.869539186111503,stop_loss,1,2.531693344116211,-4.0,False,2.402301073074341,2.663420232137044,2.402301073074341,-8.906462328420668,0.9949893336763919,-8.906462328420668
2003-09-24,AOS,rsi_mean_reversion,3.4167537689208984,22.796009554217658,stop_loss,2,3.2800836181640625,-4.0,False,3.1376725326605617,3.5545732774836187,3.5373458862304688,-8.16802307496914,4.033638883092455,3.529435407563961
2014-01-28,AOS,rsi_mean_reversion,19.87630844116211,23.61577811088028,stop_loss,4,19.081256103515624,-4.0,False,18.593159247907234,20.45642892737492,20.2155704498291,-6.45567157026797,2.918653068451234,1.7068662909477197
2015-07-08,AOS,rsi_mean_reversion,27.32029151916504,24.954998098729757,take_profit,8,28.959509010314942,6.0,True,27.510017126736095,32.645225482418354,29.994062423706055,0.6944494257609379,19.490765534174123,9.78675832454196
2021-09-17,AOS,rsi_mean_reversion,60.40566635131836,24.954406908032524,stop_loss,9,57.989439697265624,-4.0,False,55.88079906125901,60.45193710324106,59.43406677246094,-7.490799395776539,0.07660001903395652,-1.6084576787988973
1986-09-12,ABT,rsi_mean_reversion,0.935616672039032,24.02255823235886,take_profit,6,0.9917536723613739,6.0,True,0.9107033746811879,1.0048189650484274,0.9882102012634277,-2.6627675737702927,7.396436497714356,5.621268923070415
2018-03-26,ABBV,rsi_mean_reversion,68.16382598876953,24.300030499136582,stop_loss,1,65.43727294921875,-4.0,False,63.11307846118616,69.28700844135824,67.64830017089844,-7.409718357674809,1.6477690861627399,-0.7563041105644954
